adm_1_name,Year,Month,YearMonth,dengue_total_month
AN GIANG,2005,1,2005-01-01,257.0
BA RIA-VUNG TAU,2005,1,2005-01-01,4.0
BAC GIANG,2005,1,2005-01-01,0.0
BAC KAN,2005,1,2005-01-01,0.0
BAC LIEU,2005,1,2005-01-01,43.0
BAC NINH,2005,1,2005-01-01,0.0
BEN TRE,2005,1,2005-01-01,131.0
BINH DINH,2005,1,2005-01-01,15.0
BINH DUONG,2005,1,2005-01-01,26.0
BINH PHUOC,2005,1,2005-01-01,13.0
BINH THUAN,2005,1,2005-01-01,43.0
CA MAU,2005,1,2005-01-01,47.0
CAN THO CITY,2005,1,2005-01-01,169.0
CAO BANG,2005,1,2005-01-01,0.0
DA NANG CITY,2005,1,2005-01-01,0.0
DAK LAK,2005,1,2005-01-01,5.0
DAK NONG,2005,1,2005-01-01,27.0
DIEN BIEN,2005,1,2005-01-01,0.0
DONG NAI,2005,1,2005-01-01,58.0
DONG THAP,2005,1,2005-01-01,179.0
GIA LAI,2005,1,2005-01-01,2.0
HA GIANG,2005,1,2005-01-01,0.0
HA NAM,2005,1,2005-01-01,0.0
HA NOI CITY,2005,1,2005-01-01,9.0
HA TAY,2005,1,2005-01-01,0.0
HA TINH,2005,1,2005-01-01,1.0
HAI DUONG,2005,1,2005-01-01,0.0
HAI PHONG CITY,2005,1,2005-01-01,0.0
HAU GIANG,2005,1,2005-01-01,63.0
HO CHI MINH CITY,2005,1,2005-01-01,824.0
HOA BINH,2005,1,2005-01-01,0.0
HUNG YEN,2005,1,2005-01-01,0.0
KHANH HOA,2005,1,2005-01-01,87.0
KIEN GIANG,2005,1,2005-01-01,145.0
KON TUM,2005,1,2005-01-01,0.0
LAI CHAU,2005,1,2005-01-01,0.0
LAM DONG,2005,1,2005-01-01,0.0
LANG SON,2005,1,2005-01-01,0.0
LAO CAI,2005,1,2005-01-01,0.0
LONG AN,2005,1,2005-01-01,40.0
NAM DINH,2005,1,2005-01-01,0.0
NGHE AN,2005,1,2005-01-01,0.0
NINH BINH,2005,1,2005-01-01,1.0
NINH THUAN,2005,1,2005-01-01,0.0
PHU THO,2005,1,2005-01-01,0.0
PHU YEN,2005,1,2005-01-01,21.0
QUANG BINH,2005,1,2005-01-01,0.0
